country,iso_alpha3,name_1,name_2,whostandard,natstandard,population,pm_1998,pm_1999,pm_2000,pm_2001,pm_2002,pm_2003,pm_2004,pm_2005,pm_2006,pm_2007,pm_2008,pm_2009,pm_2010,pm_2011,pm_2012,pm_2013,pm_2014,pm_2015,pm_2016,pm_2017,pm_2018,pm_2019,llpp_who_1998,llpp_who_1999,llpp_who_2000,llpp_who_2001,llpp_who_2002,llpp_who_2003,llpp_who_2004,llpp_who_2005,llpp_who_2006,llpp_who_2007,llpp_who_2008,llpp_who_2009,llpp_who_2010,llpp_who_2011,llpp_who_2012,llpp_who_2013,llpp_who_2014,llpp_who_2015,llpp_who_2016,llpp_who_2017,llpp_who_2018,llpp_who_2019,llpp_nat_1998,llpp_nat_1999,llpp_nat_2000,llpp_nat_2001,llpp_nat_2002,llpp_nat_2003,llpp_nat_2004,llpp_nat_2005,llpp_nat_2006,llpp_nat_2007,llpp_nat_2008,llpp_nat_2009,llpp_nat_2010,llpp_nat_2011,llpp_nat_2012,llpp_nat_2013,llpp_nat_2014,llpp_nat_2015,llpp_nat_2016,llpp_nat_2017,llpp_nat_2018,llpp_nat_2019
Pakistan,PAK,Azad Kashmir,,10,15,5394006,30.65,29.85,35.68,32.150002,34.139999,29.08,30.530001,26.17,27.74,30.01,33.310001,29.57,30.65,31.91,37.560001,35.950001,31.790001,31.09,40.779999,34.349998,38.759998,31.26,2.02,1.95,2.52,2.1700001,2.3699999,1.87,2.01,1.59,1.74,1.96,2.28,1.92,2.02,2.1500001,2.7,2.54,2.1400001,2.0699999,3.02,2.3900001,2.8199999,2.0799999,1.53,1.46,2.03,1.6799999,1.88,1.38,1.52,1.1,1.25,1.47,1.79,1.4299999,1.53,1.66,2.21,2.05,1.65,1.58,2.53,1.9,2.3299999,1.59
Pakistan,PAK,Balochistan,Awaran,10,15,169752,24.91,22.809999,13.73,22.559999,34.380001,17.76,28.959999,14.3,39.919998,20.309999,29.76,27.42,24.91,34.389999,35.110001,27.860001,22.9,27.629999,19.5,25.26,22.959999,41.610001,1.46,1.26,0.37,1.23,2.3900001,0.75999999,1.86,0.41999999,2.9300001,1.01,1.9400001,1.71,1.46,2.3900001,2.46,1.75,1.26,1.73,0.93000001,1.5,1.27,3.0999999,0.97000003,0.76999998,0.039999999,0.74000001,1.9,0.28999999,1.37,0.050000001,2.4400001,0.51999998,1.45,1.22,0.97000003,1.9,1.97,1.26,0.77999997,1.24,0.44999999,1.01,0.77999997,2.6099999
Pakistan,PAK,Balochistan,Barkhan,10,15,168262,42.169998,26.559999,28.290001,42.220001,52.970001,22.620001,30.360001,19.389999,23.93,19.75,26.440001,48.860001,42.169998,53.169998,50.52,47.119999,46.880001,55.419998,42.610001,46.759998,50.599998,58,3.1500001,1.62,1.79,3.1600001,4.21,1.24,2,0.92000002,1.37,0.95999998,1.61,3.8099999,3.1500001,4.23,3.97,3.6400001,3.6099999,4.4499998,3.2,3.5999999,3.98,4.6999998,2.6600001,1.13,1.3,2.6700001,3.72,0.75,1.51,0.43000001,0.88,0.47,1.12,3.3199999,2.6600001,3.74,3.48,3.1500001,3.1199999,3.96,2.71,3.1099999,3.49,4.21
Pakistan,PAK,Balochistan,Chagai,10,15,404736,24.049999,21.860001,15.59,23.780001,31.26,20.209999,21.25,15.78,33.900002,21.299999,27.959999,22.66,24.049999,30.059999,32.860001,25.5,20.34,26.389999,16.309999,19.030001,25.27,41.279999,1.38,1.16,0.55000001,1.35,2.0799999,1,1.1,0.56999999,2.3399999,1.11,1.76,1.24,1.38,1.97,2.24,1.52,1.01,1.61,0.62,0.88,1.5,3.0699999,0.88999999,0.67000002,0.079999998,0.86000001,1.59,0.50999999,0.61000001,0.1,1.85,0.62,1.27,0.75,0.88999999,1.48,1.75,1.03,0.51999998,1.12,0.14,0.38999999,1.01,2.5799999
Pakistan,PAK,Balochistan,Dera Bugti,10,15,118757,47.290001,34.990002,35.52,53.779999,60.84,33.139999,39.919998,28.76,36.549999,26.33,35.27,53.099998,47.290001,56.450001,56.529999,51.720001,51.119999,56.220001,48.990002,54.509998,60.849998,64.089996,3.6500001,2.45,2.5,4.29,4.98,2.27,2.9300001,1.84,2.5999999,1.6,2.48,4.2199998,3.6500001,4.5500002,4.5599999,4.0900002,4.0300002,4.5300002,3.8199999,4.3600001,4.98,5.3000002,3.1600001,1.96,2.01,3.8,4.4899998,1.78,2.4400001,1.35,2.1099999,1.11,1.99,3.73,3.1600001,4.0599999,4.0700002,3.5999999,3.54,4.04,3.3299999,3.8699999,4.4899998,4.8099999
Pakistan,PAK,Balochistan,Gwadar,10,15,310388,14.1,19.110001,12.42,14.15,19.200001,14.38,19.85,11.36,32.130001,14.68,18.32,21.24,14.1,27.049999,23.030001,19.08,12.57,20.1,11.88,16.84,15.21,30.209999,0.41,0.88999999,0.27000001,0.41,0.89999998,0.43000001,0.97000003,0.19,2.1700001,0.46000001,0.81999999,1.1,0.41,1.67,1.28,0.88999999,0.25,0.99000001,0.20999999,0.67000002,0.50999999,1.98,0.050000001,0.41,0,0.029999999,0.41,0.02,0.47999999,0,1.6799999,0.050000001,0.40000001,0.61000001,0.050000001,1.1799999,0.79000002,0.40000001,0.029999999,0.5,0,0.20999999,0.090000004,1.49
Pakistan,PAK,Balochistan,Harnai,10,15,89604,29.02,24.629999,21.440001,24.25,32.830002,21.58,26.610001,17.049999,28.85,17.059999,24.790001,25.719999,29.02,30.67,31.950001,25.700001,24.889999,32.68,21.780001,22.790001,30.959999,37.639999,1.86,1.4299999,1.12,1.4,2.24,1.14,1.63,0.69,1.85,0.69,1.45,1.54,1.86,2.03,2.1500001,1.54,1.46,2.22,1.15,1.25,2.05,2.71,1.37,0.94,0.63,0.91000003,1.75,0.64999998,1.14,0.2,1.36,0.2,0.95999998,1.05,1.37,1.54,1.66,1.05,0.97000003,1.73,0.66000003,0.75999999,1.5599999,2.22
Pakistan,PAK,Balochistan,Jaffarabad,10,15,299822,50.599998,44.509998,42.619999,43.630001,63.259998,43.599998,55.98,39.130001,54.990002,37.939999,47.610001,45.580002,50.599998,51.330002,56.84,46.580002,45.439999,54.43,40.970001,47.959999,60.779999,60.07,3.98,3.3800001,3.2,3.3,5.2199998,3.29,4.5100002,2.8499999,4.4099998,2.74,3.6900001,3.49,3.98,4.0500002,4.5900002,3.5799999,3.47,4.3499999,3.03,3.72,4.98,4.9099998,3.49,2.8900001,2.71,2.8099999,4.73,2.8,4.02,2.3599999,3.9200001,2.25,3.2,3,3.49,3.5599999,4.0999999,3.0899999,2.98,3.8599999,2.54,3.23,4.4899998,4.4200001
Pakistan,PAK,Balochistan,Jhal Magsi,10,15,96148,38.990002,31.82,29.33,32.549999,50.18,30.01,38.450001,27.879999,47.439999,27.950001,33.889999,36.360001,38.990002,38.709999,42.59,36.23,35.73,42.029999,28.83,37.009998,44.599998,52.389999,2.8399999,2.1400001,1.89,2.21,3.9400001,1.96,2.79,1.75,3.6700001,1.76,2.3399999,2.5799999,2.8399999,2.8099999,3.1900001,2.5699999,2.52,3.1400001,1.85,2.6500001,3.3900001,4.1500001,2.3499999,1.65,1.4,1.72,3.45,1.47,2.3,1.26,3.1800001,1.27,1.85,2.0899999,2.3499999,2.3199999,2.7,2.0799999,2.03,2.6500001,1.36,2.1600001,2.9000001,3.6600001
Pakistan,PAK,Balochistan,Kachhi,10,15,164590,34.470001,28.17,25.870001,28.49,43.700001,25.959999,33.419998,22.790001,39.759998,21.559999,30.77,31.15,34.470001,33.43,36.349998,30.370001,30.129999,37.299999,24.01,28.73,36.549999,44.380001,2.4000001,1.78,1.5599999,1.8099999,3.3,1.5599999,2.3,1.25,2.9200001,1.13,2.04,2.0699999,2.4000001,2.3,2.5799999,2,1.97,2.6800001,1.37,1.84,2.5999999,3.3699999,1.91,1.29,1.0700001,1.3200001,2.8099999,1.0700001,1.8099999,0.75999999,2.4300001,0.63999999,1.55,1.58,1.91,1.8099999,2.0899999,1.51,1.48,2.1900001,0.88,1.35,2.1099999,2.8800001
